H2C time (us),H2C request,H2C counter,H2C motionstatecommand,H2C surge P,H2C surge V,H2C surge A,H2C sway P,H2C sway V,H2C sway A,H2C heave P,H2C heave V,H2C heave A,H2C roll P,H2C roll V,H2C roll A,H2C pitch P,H2C pitch V,H2C pitch A ,H2C yaw P,H2C yaw V,H2C yaw A,C2H time (us),C2H c request,C2H counter,C2H motionstatecommand,C2H surge P,C2H sway P,C2H heave P,C2H roll P,C2H pitch P,C2H yaw P,C2H surge V,C2H sway V,C2H heave V,C2H roll V,C2H pitch V,C2H yaw V,C2H surge A,C2H  sway A,C2H heave A,C2H roll A,C2H pitch A,C2H yaw A
819794428,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819794444,1000,4063,10,-0.409626007,-1.06E-15,-3.274047613,3.06E-16,-6.25E-16,4.69E-16,7.94E-16,1.94E-15,1.10E-05,9.14E-16,2.03E-16,-6.52E-16,-3.77E-14,7.94E-15,6.41E-07,1.79E-15,-1.61E-16,1.13E-14
819804461,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819804479,1000,4064,10,-0.409626007,-1.16E-15,-3.274047613,3.67E-16,-6.84E-16,4.17E-16,3.53E-16,1.96E-15,1.10E-05,9.39E-16,1.72E-16,-5.05E-16,-4.57E-14,3.00E-15,6.00E-07,1.62E-15,-2.26E-15,1.51E-14
819814441,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819814459,1000,4065,10,-0.409626007,-1.59E-15,-3.274047375,2.63E-16,-6.25E-16,5.73E-16,5.43E-17,1.83E-15,1.10E-05,9.31E-16,1.12E-16,-3.75E-16,-3.63E-14,-5.69E-15,5.52E-07,6.85E-16,-4.34E-15,1.36E-14
819824429,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819824445,1000,4066,10,-0.409626007,-1.22E-15,-3.274047375,2.24E-16,-4.83E-16,5.73E-16,-2.95E-17,1.50E-15,1.10E-05,8.11E-16,6.30E-17,-2.83E-16,-1.82E-14,-2.08E-14,5.11E-07,-6.24E-15,-4.76E-15,1.03E-14
819834432,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819834449,1000,4067,10,-0.409626007,-1.48E-15,-3.274047136,3.45E-16,-6.47E-16,6.25E-16,-4.24E-17,8.95E-16,1.10E-05,6.05E-16,-3.63E-17,-1.59E-16,-7.35E-15,-4.69E-14,4.74E-07,-1.62E-14,-7.77E-15,1.18E-14
819844438,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819844454,1000,4068,10,-0.409626007,-9.60E-16,-3.274047136,2.46E-16,-5.65E-16,5.21E-16,-2.28E-16,1.53E-16,1.10E-05,3.35E-16,-1.54E-16,5.12E-17,-1.19E-14,-6.41E-14,4.32E-07,-2.22E-14,-1.06E-14,1.67E-14
819854434,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819854449,1000,4069,10,-0.409626007,-1.22E-15,-3.274046898,2.24E-16,-6.47E-16,5.73E-16,-4.62E-16,-1.70E-16,1.11E-05,1.73E-16,-1.87E-16,1.94E-16,-1.87E-14,-4.87E-14,3.95E-07,-2.08E-14,-6.30E-15,1.60E-14
819864452,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819864470,1000,4070,10,-0.409626007,-1.22E-15,-3.274046898,3.67E-16,-5.65E-16,5.73E-16,-8.94E-16,6.73E-17,1.11E-05,2.99E-16,-1.98E-16,2.96E-16,-3.28E-14,-6.22E-15,3.59E-07,-1.46E-15,-3.09E-15,1.25E-14
819874435,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819874452,1000,4071,10,-0.409626007,-1.42E-15,-3.274046898,3.45E-16,-4.38E-16,4.69E-16,-1.37E-15,6.31E-16,1.11E-05,4.74E-16,-1.23E-16,3.47E-16,-4.41E-14,3.52E-14,3.25E-07,1.26E-14,2.96E-15,8.19E-15
819884430,1001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819884445,1000,4072,10,-0.409626007,-1.32E-15,-3.274046659,2.85E-16,-5.42E-16,5.21E-16,-1.64E-15,1.24E-15,1.11E-05,5.81E-16,1.88E-17,3.21E-16,-3.79E-14,5.58E-14,2.95E-07,1.31E-14,1.04E-14,1.91E-15
